id,category,title,prompt,type,image,description,tags,contributor
1,"3D Figurine","Mô hình tỉ lệ 1/7 phong cách thương mại","Tạo một mô hình nhân vật tỉ lệ 1/7 dựa trên bức hình, phong cách hiện thực, đặt trong môi trường thật. Mô hình được đặt trên bàn máy tính. Mô hình có đế acrylic trong suốt hình tròn, không có chữ trên đế. Màn hình máy tính hiển thị quá trình dựng mô hình bằng Zbrush của mô hình này. Bên cạnh màn hình là hộp đồ chơi phong cách BANDAI được in artwork gốc. Bao bì có minh họa phẳng hai chiều.","text-to-image","/images/prompt001-020/prompt001.png","Prompt này tạo hình ảnh mô hình nhân vật tỉ lệ 1/7 phong cách thương mại, đặt trong môi trường bàn máy tính, với đế acrylic trong suốt, hộp đồ chơi phong cách BANDAI, và màn hình hiển thị quá trình dựng Zbrush.","figurine, 1/7 scale, realistic, Zbrush, BANDAI, acrylic base, toy packaging","LockMan04"
2,"3D Figurine","Hộp đồ chơi Figure","Một mô hình action figure toàn thân của một nhân vật, làm nghề [nghề nghiệp]. Bao bì blister pack nguyên bản, phong cách đồ chơi 3D. Trên thẻ bao bì, tên [tên] được viết nổi bật, với [vai trò] bên dưới. Nhân vật mặc trang phục đặc trưng của nghề nghiệp, kèm theo các phụ kiện như dụng cụ/đồ vật liên quan đến nghề. Thẻ bao bì có [thiết kế minh họa]. Phong cách bổ sung nếu cần. Kết xuất quang thực, ánh sáng phòng thu, lấy nét rõ bao bì và mô hình. --ar 2:3
","text-to-image","/images/prompt001-020/prompt002.png","Prompt này tạo hình ảnh action figure trong blister pack, với nghề nghiệp làm trọng tâm (ảnh hưởng đến trang phục và phụ kiện), tên nhân vật rõ ràng, thiết kế bao bì minh họa, phong cách đồ chơi 3D và render quang thực.","action figure, blister pack, toy design, 3D, photorealistic, accessories, packaging","LockMan04"
3,"3D Diorama","Cảnh văn phòng phong cách sống kỹ thuật số","Một diorama phong cách sống kỹ thuật số làm nổi bật một văn phòng nhỏ. Cảnh này có một nhân vật, tạo dáng thực tế với góc mặt được giữ nguyên như trong hình ảnh tham chiếu, trang phục trẻ trung, cá tính, ngồi trên ghế làm việc với tư thế và góc mặt tương xứng. Trong cảnh diorama, sàn gỗ kết hợp với tường gỗ sồi sáng màu, tạo nên bầu không khí ấm áp và hấp dẫn. Văn phòng được trang bị bàn làm việc bằng kim loại đánh bóng có màn hình máy tính, tách cà phê cùng một số đồ nội thất như catalog, tập hồ sơ… bố cục tổng thể gợi ý một không gian làm việc nhỏ gọn, hiệu quả. Một biển báo màu vàng có dòng chữ “TÊN + NGÀNH NGHỀ”.","text-to-image","/images/prompt001-020/prompt003.png","Prompt này tạo cảnh diorama văn phòng kỹ thuật số nhỏ gọn, với nhân vật có góc mặt và dáng ngồi tự nhiên, sàn gỗ và tường gỗ sáng màu, bàn kim loại, màn hình máy tính, phụ kiện văn phòng và biển báo cá nhân hóa “TÊN + NGÀNH NGHỀ”.","diorama, văn phòng, phong cách sống, quang thực, gỗ, nhân vật, không gian làm việc, biển báo","LockMan04"
4,Phân tích thương hiệu cá nhân,Phân tích điểm mạnh và định vị,"Tôi là [mô tả công việc hiện tại của bạn]. Hãy phân tích 5 điểm mạnh độc đáo mà tôi có thể không nhận ra và đề xuất 3 cách định vị thương hiệu cá nhân dựa trên những điểm mạnh này. Mỗi cách định vị phải bao gồm: (1) nhóm đối tượng cụ thể, (2) vấn đề duy nhất tôi giải quyết, (3) lời hứa giá trị trong 1 câu.",text,,"Prompt này giúp khám phá điểm mạnh ẩn của bản thân và đưa ra các gợi ý định vị thương hiệu cá nhân rõ ràng, phù hợp với từng nhóm đối tượng và giá trị cam kết.","phân tích, thương hiệu cá nhân, điểm mạnh, định vị, giá trị, đối tượng mục tiêu",LockMan04
5,Tối ưu hóa hồ sơ cá nhân,Hồ sơ LinkedIn,"Hãy viết lại hồ sơ LinkedIn của tôi để tăng mạnh lượt xem và kết nối chất lượng hơn. Bao gồm:  
1. Headline nổi bật, mang tính thu hút, không chỉ là chức danh công việc.  
2. Summary 3 đoạn theo công thức: Vấn đề + Giải pháp + Kết quả.  
3. Mô tả kinh nghiệm nhấn mạnh thành tựu và kết quả đạt được thay vì liệt kê nhiệm vụ.  
4. Phần kỹ năng (Skills) với các từ khóa phù hợp ngành nghề.  
5. Đề xuất 10 chủ đề nội dung có thể đăng định kỳ để xây dựng thương hiệu cá nhân.  

Thông tin hiện tại: [dán hồ sơ LinkedIn hoặc mô tả ngắn gọn].","text",,"Prompt này hướng dẫn cách tối ưu hóa hồ sơ LinkedIn toàn diện: từ headline, summary, kinh nghiệm, kỹ năng đến kế hoạch nội dung đăng tải, nhằm thu hút nhiều lượt xem và kết nối chất lượng hơn.","LinkedIn, tối ưu hồ sơ, thương hiệu cá nhân, kỹ năng, headline, summary, kinh nghiệm, nội dung
",LockMan04
6,Tạo nội dung học tập,Bài học cơ bản thân thiện cho người mới bắt đầu,"Tạo một bài học cơ bản thân thiện với người mới bắt đầu về [chèn môn học/kỹ năng].  
Bao gồm:  
1. Phần giới thiệu và tổng quan về các khái niệm chính quan trọng đối với khóa học này.  
2. Ví dụ thực tế về tác động, giá trị hoặc sự liên quan của môn học/kỹ năng này đối với thế giới.  
3. Danh sách 10 sự thật hoặc kiến thức chính mà bất kỳ ai muốn học môn học/kỹ năng này đều phải biết.  
",text,,"Prompt này giúp xây dựng một bài học cơ bản thân thiện với người mới bắt đầu, có phần giới thiệu, ví dụ thực tế và danh sách 10 sự thật cốt lõi cần biết.","bài học, cơ bản, người mới bắt đầu, giáo dục, ví dụ thực tế, kiến thức chính, kỹ năng",LockMan04
7,Tạo nội dung học tập,Tạo bài kiểm tra nhanh,"Vui lòng tạo 10 câu hỏi để kiểm tra kiến thức của tôi về [môn học]. Hãy hỏi tôi từng câu một.  
Khi kết thúc, báo cáo điểm số của tôi.  
- Với mỗi câu sai, giải thích lý do tại sao tôi sai.  
- Với mỗi câu đúng, cung cấp thêm thông tin hữu ích hoặc thú vị để khuyến khích học tập sâu hơn về chủ đề đó.  
",text,,"Prompt này giúp tạo một bài kiểm tra nhanh để đánh giá kiến thức về bất kỳ môn học nào, vừa chấm điểm vừa đưa ra giải thích và mở rộng kiến thức cho người học.","bài kiểm tra, trắc nghiệm, học tập, phản hồi, giáo dục, luyện tập, kiến thức",LockMan04
8,Đánh giá & phản hồi học tập,"Phản hồi và cải thiện bài luận
","Vui lòng đánh giá và xem lại bài luận này, được viết cho khóa học [tên bằng cấp] của tôi.  
- Đánh giá độ chính xác về nội dung và mức độ giải quyết các chủ đề chính quan trọng đối với bài luận.  
- Đưa ra điểm dự đoán cho bài luận.  
- Đề xuất cách cải thiện điểm số, trình bày dưới dạng các gạch đầu dòng ngắn gọn, dễ áp dụng.  

[chèn nội dung bài luận]
",text,,"Prompt này giúp người học nhận phản hồi khách quan về bài luận: kiểm tra nội dung, chấm điểm dự đoán và đưa ra các đề xuất cải thiện cụ thể.
","bài luận, phản hồi, chấm điểm, cải thiện, học tập, viết học thuật",LockMan04
9,Nghiên cứu thị trường,Chiến lược gia nghiên cứu thị trường (mô phỏng end-to-end),"Bạn là một chiến lược gia nghiên cứu thị trường đẳng cấp thế giới với kinh nghiệm sâu rộng về tâm lý học người tiêu dùng, thông tin cạnh tranh và phân tích sự phù hợp sản phẩm-thị trường.
<Context>
Người dùng đang lên kế hoạch nghiên cứu một sản phẩm, dịch vụ hoặc ngành cụ thể và muốn thu thập thông tin chi tiết sử dụng cả phương pháp định tính và định lượng. Nhiệm vụ của bạn là mô phỏng toàn bộ quá trình nghiên cứu thị trường chuyên nghiệp với sự hỗ trợ của AI, được điều chỉnh theo trọng tâm mà người dùng đã chọn.
</Context>
<Instructions>
1. Dựa trên đầu vào của người dùng, bắt đầu bằng việc xác định mục tiêu và phạm vi nghiên cứu.
2. Đề xuất các phương pháp nghiên cứu phù hợp nhất (định tính, định lượng, hoặc kết hợp) dựa trên chủ đề.
3. Liệt kê các bộ dữ liệu công khai chính, công cụ hoặc nền tảng nơi có thể thu thập dữ liệu cho chủ đề này.
4. Xây dựng 2-3 persona khách hàng chi tiết cao liên quan đến thị trường của người dùng.
5. Xác định top 5 đối thủ cạnh tranh trực tiếp và gián tiếp với hồ sơ ngắn gọn và USP.
6. Làm nổi bật ít nhất 3 khoảng trống thị trường tiềm năng hoặc cơ hội chưa được phục vụ dựa trên sự liên kết cạnh tranh và persona.
7. Trình bày tất cả phát hiện theo định dạng có tổ chức với phân chia phù hợp và dấu đầu dòng.
</Instructions>
<Constraints>
- Không sử dụng truy cập web thời gian thực; mô phỏng dữ liệu hoặc chỉ đề xuất các nguồn công khai đáng tin cậy.
- Giữ lời giải thích ngắn gọn nhưng sâu sắc; tránh thuật ngữ không cần thiết.
- Mỗi persona phải bao gồm: tên, tuổi, nghề nghiệp, mục tiêu, điểm đau, kỳ vọng sản phẩm.
- Hồ sơ đối thủ cạnh tranh nên tập trung vào sự khác biệt.
- Khoảng trống thị trường phải cụ thể, có thể hành động, và dựa trên nhu cầu chưa được đáp ứng của persona hoặc điểm mù của đối thủ cạnh tranh.
</Constraints>
<Output Format>
<Báo cáo Nghiên cứu Thị trường>
1. Mục tiêu & Phạm vi
2. Phương pháp Đề xuất
3. Nguồn Dữ liệu Công khai
4. Persona Khách hàng
5. Phân tích Đối thủ Cạnh tranh
6. Khoảng trống Thị trường & Cơ hội
</Báo cáo Nghiên cứu Thị trường>
</Output Format>
<Reasoning>
Áp dụng Theory of Mind để phân tích yêu cầu của người dùng, xem xét cả ý định logic và âm hưởng cảm xúc. Sử dụng Strategic Chain-of-Thought và System 2 Thinking để cung cấp các phản hồi dựa trên bằng chứng, tinh tế, cân bằng giữa độ sâu và sự rõ ràng.
</Reasoning>
<User Input>
Trả lời với: ""Vui lòng nhập chủ đề nghiên cứu thị trường hoặc ngách của bạn và tôi sẽ bắt đầu quá trình,"" sau đó chờ người dùng cung cấp yêu cầu nghiên cứu thị trường cụ thể của họ.
</User Input>
",text,,"Prompt nhập vai chuyên gia để mô phỏng toàn bộ quy trình nghiên cứu thị trường: xác định mục tiêu & phạm vi, chọn phương pháp, liệt kê nguồn dữ liệu, xây dựng persona, phân tích đối thủ, nêu khoảng trống thị trường và trình bày theo cấu trúc báo cáo. Không dùng web thời gian thực.Prompt nhập vai chuyên gia để mô phỏng toàn bộ quy trình nghiên cứu thị trường: xác định mục tiêu & phạm vi, chọn phương pháp, liệt kê nguồn dữ liệu, xây dựng persona, phân tích đối thủ, nêu khoảng trống thị trường và trình bày theo cấu trúc báo cáo. Không dùng web thời gian thực.
","nghiên cứu thị trường, chiến lược, persona, đối thủ cạnh tranh, khoảng trống thị trường, định tính, định lượng, USP, báo cáo, phân tích khách hàng
",LockMan04
10,"Chỉnh sửa & tạo ảnh
","Chuyển đổi ảnh sang góc nhìn từ trên xuống
","Hãy chuyển đổi bức ảnh hiện có sang góc nhìn từ trên xuống (top-down view), giữ nguyên tỷ lệ và độ chính xác về không gian.  
- Bảo toàn chi tiết chính của cảnh vật và phối cảnh tổng thể.  
- Làm nổi bật rõ cấu trúc, đường biên hoặc khu vực chính trong ảnh.  
- Đánh dấu vị trí của nhiếp ảnh gia ban đầu trong bức ảnh bằng một ký hiệu hoặc điểm đánh dấu dễ nhận biết.  
- Đảm bảo hình ảnh đầu ra có độ rõ nét cao, phối cảnh chính xác, ánh sáng và màu sắc cân bằng để dễ phân tích.  
","text-to-image",/images/prompt001-020/prompt010.png,"Prompt này tạo ảnh từ góc nhìn trên cao (top-down), đồng thời đánh dấu vị trí người chụp để phục vụ cho phân tích bố cục, không gian hoặc minh họa báo cáo.
","chỉnh sửa ảnh, góc nhìn trên cao, phân tích bố cục, vị trí nhiếp ảnh gia, top-down view
",LockMan04
